cumulative_return,max_drawdown,sharpe_ratio,win_rate,total_trades,ob_created,ob_mitigated,ob_reliability,year,freq
0.0,0.0,0,0,0,34,9,26.47058823529412,2023,60min
0.0,0.0,0,0,0,41,9,21.951219512195124,2024,60min
0.0,0.0,0,0,0,38,10,26.31578947368421,2025,60min
0.0,0.0,0,0,0,86,10,11.627906976744185,2023,15min
0.0,0.0,0,0,0,86,8,9.30232558139535,2024,15min
0.0,0.0,0,0,0,87,10,11.494252873563218,2025,15min
