trade_id,direction,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,margin_used,pnl,pnl_ratio,exit_reason,quality_score
896a9356-485f-4784-81c8-90979ae1502e,short,2023-01-16 14:00:00,2023-01-16 21:00:00,4093.0,4085.0,1,4.093,4.085,4093.0,71.822,0.017547520156364526,tp1,
42c32bb6-d4fd-4041-a27d-830e2b4e3464,long,2023-02-09 10:00:00,2023-02-09 14:00:00,4085.0,4092.5,1,4.085,4.0925,4085.0,66.8225,0.016358017135862914,tp1,60.01141399512673
f8df0332-fa92-4a45-ae61-ec83643574e2,short,2023-02-27 21:00:00,2023-02-28 10:00:00,4174.0,4163.5,1,4.174,4.1635,4174.0,96.6625,0.023158241494968854,tp1,57.64703641714018
875e9e8e-7303-46fb-8956-4a3e8d039ee8,short,2023-05-23 22:00:00,2023-05-24 09:00:00,3551.0,3544.0,1,3.551,3.544,3551.0,62.905,0.01771472824556463,tp1,64.0862489709341
4ce8a417-8801-4821-bf38-f758f42ed6af,long,2023-07-21 11:00:00,2023-07-21 14:00:00,3768.0,3768.0,1,3.7680000000000002,3.7680000000000002,3768.0,-7.5360000000000005,-0.002,tp1,52.884605189333286
474f4f7e-6cd6-41de-8468-cad13fd64424,short,2023-08-04 22:00:00,2023-08-07 09:00:00,3721.0,3717.0,1,3.721,3.717,3721.0,32.562,0.008750873421123352,tp1,50.183721482599175
3170f3f5-e92e-4c36-9876-125052f90c8f,long,2023-08-23 14:00:00,2023-08-23 22:00:00,3729.0,3733.0,1,3.729,3.733,3729.0,32.538,0.008725663716814158,tp1,80.20743111511192
9638aa3f-3877-467f-ad22-ed3df7629d83,short,2023-08-25 22:00:00,2023-08-28 13:00:00,3689.0,3678.0,1,3.689,3.6780000000000004,3689.0,102.633,0.02782136080238547,tp1,51.59156620828919
d946839a-d230-4329-805c-0a90472ee658,short,2023-08-28 14:00:00,2023-08-31 21:00:00,3666.0,3765.4285714285716,1,3.6660000000000004,3.765428571428572,3666.0,-1001.7171428571442,-0.2732452653729253,stop_loss,56.45175781556962
dc0f16cd-4126-4e53-9f81-9e69056bc66e,short,2023-09-07 14:00:00,2023-09-08 10:00:00,3797.0,3762.5,1,3.797,3.7625,3797.0,337.4405,0.08887029233605477,tp1,86.57182543750274
d9447200-d391-425f-8e25-b0f44ce239d8,short,2023-09-25 10:00:00,2023-09-25 13:00:00,3727.0,3722.5,1,3.7270000000000003,3.7225,3727.0,37.5505,0.010075261604507647,tp1,55.99231345231286
b390fc15-769e-47a9-a422-190af0b4234f,long,2023-10-16 21:00:00,2023-10-17 11:00:00,3644.0,3660.0,1,3.644,3.66,3644.0,152.696,0.04190340285400659,tp1,71.92056167693504
89028e56-22b2-498b-9027-adafe930b35e,long,2023-12-08 22:00:00,2023-12-12 13:00:00,4049.0,4057.0,1,4.049,4.057,4049.0,71.894,0.01775598913311929,tp1,75.07993332669592
ae5933d4-4f27-4825-a4ac-614d2e25c7e2,short,2023-12-15 14:00:00,2023-12-15 21:00:00,3916.0,3905.5,1,3.9160000000000004,3.9055,3916.0,97.1785,0.02481575587334014,tp1,67.32776007184759
43107afd-0b00-48e3-b51e-5aab02d0423c,short,2023-12-29 11:00:00,2023-12-29 13:00:00,4005.0,4006.0,1,4.005,4.006,4005.0,-18.011,-0.004497128589263421,tp1,58.71034315397939
