freq,params,total_return,sharpe,max_dd,win_rate,trades
60min,"(7, 3.0)",-2.17,-7.10031077110604,2.17,43.83561643835616,219
60min,"(10, 3.0)",-2.437,-7.315468902988359,2.4399268021959344,42.79661016949153,236
60min,"(14, 2.5)",-2.777,-6.917330611100378,2.777,44.12955465587044,247
15min,"(7, 3.0)",-3.9600000000000004,-12.426900482931325,3.964,43.79391100702576,427
15min,"(10, 3.0)",-4.999,-11.652854957050055,4.999,40.0,505
15min,"(14, 2.5)",-5.567,-12.213247842224863,5.567,42.65486725663717,565
