trial_number,score,pivot_len,msb_zscore,atr_period,atr_multiplier,tp1_multiplier,tp2_multiplier,tp3_multiplier,total_trades,win_rate,avg_win,avg_loss,profit_loss_ratio,cumulative_return,max_drawdown,sharpe_ratio
0,1.6787921614472783,8,0.5421952243282325,10,1.5585571500299116,0.4652679381297762,1.2150668726594447,2.0721992127904074,59,72.88135593220339,0.0013860398580747342,-0.0017089508929173415,0.8110472125437335,0.039719861692419256,0.010648699854347094,1.8665868086046657
1,1.014174321261969,5,0.6732585242655503,16,1.970066839706848,0.6125590441162627,1.0980618186760507,2.288350290246865,75,77.33333333333333,0.0018310328381332761,-0.005406441422955382,0.33867616328160616,0.030667733712951506,0.025089780586655376,0.8844972723009878
2,1.2499946205664554,7,0.564300481210686,12,1.9499759673628758,0.9426765964404322,1.265760888148226,1.7608692288561412,66,78.78787878787878,0.002073979334571197,-0.006755444735188021,0.30700855618996825,0.0404249558841856,0.026298193155280862,1.062306934689187
4,1.688170483966025,5,0.3232915650708493,11,0.8601241929558465,0.6230129976850615,1.058717067211687,2.3152664670078424,84,77.38095238095238,0.0018225490711249266,-0.004079997089915885,0.44670352232101745,0.052223160677863145,0.017671433536691535,1.5500862049345168
5,0.9381827414895251,5,0.45982835797841937,12,1.6015035077057724,0.6227338909052307,1.0722502414681783,1.780836058401161,81,77.77777777777779,0.0018123237546146618,-0.005705633922463427,0.31763758054638475,0.02868262280698075,0.024430166094496053,0.7915841771045204
7,0.6501132234539332,6,0.6057469559852633,14,1.6688025087535987,0.619318855034384,1.0294659364843355,2.250282106416288,76,73.68421052631578,0.0018265457149289636,-0.005251725207905075,0.34779917886403977,0.01802395378636823,0.029095881098761198,0.5017149206031757
8,1.6139209501462153,7,0.7819006482694664,16,1.8166311894473208,0.5720400939166821,1.0184777565515941,2.14111815159933,62,75.80645161290323,0.0018150003222126795,-0.0035830191760370038,0.5065561285162196,0.04659691404696242,0.014024390243902451,1.5978673926682634
9,1.4287118866633546,9,0.5283106867860101,12,0.9290686126897897,0.6021559445840944,1.3087557348813097,2.461349078367486,55,72.72727272727273,0.0015372928323867433,-0.0023131386553292897,0.6645917350630675,0.03414998799903901,0.00965835821255945,1.5995847755244916
10,0.5602060234394055,6,0.2624600895201889,20,0.8228747918151957,0.8198015820619707,1.4993049765094408,1.3565001534613899,83,72.28915662650603,0.0019913762451220876,-0.005387200551320387,0.36964954732082644,0.014759352272685211,0.035755932018140014,0.3905305301912359
11,0.7593932112517554,8,0.36702410551035625,10,1.2107659863467193,0.3222369793955297,1.2482922691000866,1.9826692233113052,64,68.75,0.0012707509959842874,-0.00136841108003204,0.9286324954008222,0.03306332663805733,0.010648699854346782,1.6202229719401178
12,0.6671909951540809,8,0.21858931660634806,10,1.3356534513148963,0.7670766410302774,0.8954624368922723,1.993099768156078,61,70.49180327868852,0.0018294213433276973,-0.004400846468037475,0.4156976064978505,0.016755146880274907,0.031102320534964197,0.552696716498142
13,1.4668020470267198,9,0.4016409010440708,10,1.11292819948238,0.48200236046450684,1.393763257633809,1.602087785679817,58,72.41379310344827,0.0012950201381578788,-0.0018094756553352603,0.7156880692699549,0.033108721598055224,0.010648699854347134,1.7278412911921117
14,0.30245907961763363,6,0.31828166934983454,13,1.486207227149498,0.7132732652036118,1.210818666141522,2.018594069832291,81,70.37037037037037,0.001987898719250287,-0.005372906318588301,0.3699857398169927,0.005465164692912694,0.03086025994282249,0.15053829944194227
