datetime,open,high,low,close,volume,future_return,trend_label,ema60_slope,ema20_slope,ema60_slope_norm,ema20_slope_norm,twap_slope,twap_slope_norm,linear_reg_slope,linear_reg_slope_norm,adx,adx_change,adx_change_pct,atr,atr_ratio,ema5_ema60_ratio,golden_cross,close_ema60_ratio,close_above_ema60,high_20_high,low_20_low,high_break_ratio,low_break_ratio,ma_alignment,consecutive_bullish,consecutive_bearish,bullish_streak,bearish_streak,rolling_std_5,rolling_std_5_ratio,rolling_std_10,rolling_std_10_ratio,rolling_std_20,rolling_std_20_ratio,parkinson_vol_5,parkinson_vol_10,parkinson_vol_20,macd,macd_signal,macd_histogram,macd_histogram_norm,rsi_14,rsi_14_norm,rsi_6,rsi_6_norm,rsi_24,rsi_24_norm,bb_upper,bb_middle,bb_lower,bb_width,bb_position,volume_change_1,volume_change_5,volume_change_10,price_velocity,price_acceleration,price_velocity_norm,price_acceleration_norm
2022-01-04 09:00:00,4392.254,4467.048,4392.028,4465.958,206649.0,0.027827176162427,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04 10:00:00,4466.094,4479.383,4443.1,4475.794,90846.0,0.0308928427000886,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2022-01-04 11:00:00,4474.894,4482.281,4463.308,4468.056,36259.0,0.0337439817227,1.0,,,,,,,,,,,,,,1.0006618874181354,1.0,1.0021300740547265,1.0,,,,,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,0.7846381766385093,0.15692763532770188,0.6277105413108075,0.00014024562821944163,,,,,,,,,,,,-0.5603850006532817,,,9.83600000000024,,0.002197598906473408,
2022-01-04 13:00:00,4467.367,4478.03,4458.301,4467.32,27656.0,0.034828263925575,1.0,,,,,,,,,,,,,,1.0005607290645975,1.0,1.0003844972194402,1.0,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,0.7731650879459266,0.28017512585134685,0.4929899620945798,0.00011033656742318803,,,,,,,,,,,,-0.600874006560553,,,-7.738000000000284,-17.574000000000524,-0.0017318493769998148,-0.003933254193770294
2022-01-04 14:00:00,4467.486,4486.271,4466.689,4480.116,53255.0,0.0280041856059085,1.0,,,,,,,,,,,,,,1.0004398489676547,1.0,1.0002125038960148,1.0,,,,,1.0,0.0,1.0,0.0,2.0,,,,,,,,,,0.6966529519277174,0.363470691066621,0.33318226086109637,7.458213444774416e-05,,,,,,,,,,,,-0.2372652307013431,,,-0.7359999999998763,7.0020000000004075,-0.00016475202134610378,0.0015673826813392387
2022-01-04 15:00:00,4480.931,4486.121,4479.851,4485.211,4170.0,0.0244829061553625,1.0,0.18174639821366215,0.4786762100153402,4.0567342054014256e-05,0.00010684460179498483,1.9841999999998705,0.0004428903180185224,,,,,,,,1.0012180323433433,1.0,1.0029762687822452,1.0,,,,,1.0,1.0,0.0,1.0,0.0,6.178755635239448,0.0013791508155680452,,,,,0.005435811677489305,,,1.649532014000215,0.6206829556533398,1.0288490583468752,0.0002296478614274441,,,,,,,,,,,,0.9256219265258896,,,12.796000000000276,13.532000000000153,0.002856176045441742,0.0030204575060110393
2022-01-04 21:00:00,4485.727,4510.449,4472.077,4505.529,102219.0,0.0200671219739123,1.0,0.27707930319062296,0.7273165709659446,6.17762025444562e-05,0.0001621588306471969,3.089399999999758,0.0006887970264943517,,,,,,,,1.0020490649138647,1.0,1.0039813831100564,1.0,,,,,1.0,1.0,0.0,2.0,0.0,7.710735165988482,0.0017191465832908377,,,,,0.0029995249683558885,,,2.7837303445248835,1.0532924334276486,1.730437911097235,0.0003858097001673355,,,76.59180685616435,0.531836137123287,,,,,,,,-0.9216974931931274,-0.9798208556537897,,5.095000000000255,-7.701000000000022,0.0011359554767881052,-0.0017169760798321464
2022-01-04 22:00:00,4506.105,4532.325,4506.079,4525.154,89372.0,0.0187204678559005,1.0,0.5723783424299722,1.542210230873783,0.00012703909850096895,0.0003422928208593892,9.283699999999328,0.002060512761098492,,,,,,,,1.0039284308033518,1.0,1.0082474580120835,1.0,,,,,1.0,1.0,0.0,3.0,0.0,15.609066189238652,0.0034644247521741956,,,,,0.0030807942139174324,,,5.261432964228334,1.8949205395877857,3.366512424640548,0.00074719581754785,,,85.00681186857518,0.7001362373715037,,,,,,,,23.51294964028777,0.12518988177795398,,20.31800000000021,15.222999999999956,0.0045095703523382515,0.003378737546689846
2022-01-04 23:00:00,4524.003,4527.509,4521.066,4523.679,1840.0,0.0254810299316109,1.0,1.0161724951375068,2.7389616374574994,0.00022456086469930235,0.0006052747900861493,14.108099999999647,0.003117706049341005,,,,,,,,1.0064149445495476,1.0,1.0122196794024414,1.0,,,,,1.0,1.0,0.0,4.0,0.0,22.78390964035939,0.005034946797470183,,,,,0.003259812826694887,,,8.708220680928207,3.25758056785587,5.450640113072337,0.0012045203573342116,,,87.22024491765693,0.7444048983531385,,,,,,,,-0.12568113560101346,1.4648225268209272,,19.625,-0.693000000000211,0.004336868977276795,-0.00015314395929955332
2022-01-05 09:00:00,4523.973,4552.472,4511.352,4537.294,100177.0,0.0260796413016216,1.0,1.3994750362801724,3.688289100556462,0.0003093665656383162,0.0008153295361046754,12.70689999999935,0.002808974730523397,,,,,,,,1.0078469900237388,1.0,1.0114954317742675,1.0,,,,,1.0,0.0,1.0,0.0,1.0,20.97942581912304,0.004637691095925029,,,,,0.0030604424716166767,,,11.191792587961572,4.844422971877011,6.347369616084562,0.0014031432416147479,,,96.31776167874061,0.9263552335748122,,,,,,,,-0.9794118963433738,-0.9334683251374024,,-1.4750000000003638,-21.100000000000364,-0.00032606203932692037,-0.00466434510494674
2022-01-05 10:00:00,4537.222,4550.241,4512.301,4549.257,60879.0,0.0241839491591704,1.0,1.754626674434804,4.501937757646198,0.0003867121404155878,0.0009922076368968373,12.231599999999679,0.002695791808950374,8.378369696969925,0.0018465564931366416,,,,,,1.0095966215265875,1.0,1.0140563343102766,1.0,,,,,1.0,1.0,0.0,1.0,0.0,20.321407537376032,0.004478750448477889,27.13745405830644,0.005980977661642918,,,0.003731581266657481,0.004662228401890996,,14.09616610386638,6.694771598274885,7.401394505591496,0.0016312353807338682,,,97.97734627831667,0.9595469255663335,,,,,,,,53.444021739130434,0.8810815885832317,,13.614999999999782,15.090000000000146,0.003000687193732604,0.003325770822873754
2022-01-05 11:00:00,4549.135,4554.69,4534.668,4538.195,28997.0,0.0269250219525605,1.0,2.0236421933052906,5.0217151140608145,0.00044482916513735994,0.0011038539071458954,9.959599999999181,0.002189280579224076,9.594303030302886,0.002108982418514251,,,,,,1.0114196224190768,1.0,1.0161725934012933,1.0,,,,,1.0,1.0,0.0,2.0,0.0,16.35380971823305,0.0035948309181549985,30.366634141951508,0.006675075543534144,,,0.004340590263285355,0.0037308091528191326,,17.165345740499106,8.78888642671973,8.376459313779376,0.0018412807440378455,,,97.95397483735785,0.959079496747157,,,,,,,,-0.3922856543917267,13.599280575539568,-0.7053990099153638,11.962999999999738,-1.6520000000000437,0.002629660184069561,-0.00036313622202483695
2022-01-05 13:00:00,4536.078,4548.344,4520.829,4534.618,47954.0,0.0276825964171623,1.0,2.1266703181151185,5.035456531769148,0.0004686158964335201,0.0011095725352853168,5.165999999998723,0.0011383380396828967,9.852903030303004,0.0021711061402833074,,,,,,1.01172579987132,1.0,1.0132464765602796,1.0,,,,,1.0,0.0,1.0,0.0,1.0,10.528976906623363,0.00232008031973579,30.849907345260107,0.006797836440536405,,,0.003869791130653718,0.0034976117840172963,,18.49191843882454,10.729492829140693,7.762425609683849,0.0017104654184502538,,,83.93886597145678,0.6787773194291356,,,,,,,,-0.5236945416317613,-0.7163247537150628,-0.6808114831693195,-11.061999999999898,-23.024999999999636,-0.00243753298392861,-0.005073603051433365
