year,freq,strategy_name,total_trades,cumulative_return,annual_return,max_drawdown,sharpe_ratio,win_rate,buy_hold_return,stopped_out_count,data_length
2023,15min,"SuperTrend_SF14Re(20,2,n=1.5,ts=80)",64,0.06246511441096381,0.7605224968863944,0.1299573708288553,1.4149082668408306,50.112401648557515,-0.006947890818869595,13,6480
2023,60min,"SuperTrend_SF14Re(20,2,n=1.5,ts=80)",24,0.13912551616159297,37.435976298802544,0.07086467891530654,5.5204592249839886,50.91383812010444,-0.009405940594064854,23,2160
2024,15min,"SuperTrend_SF14Re(20,2,n=1.5,ts=80)",69,0.0464224132431128,0.5301377445445361,0.16452195585166624,1.1089925285049487,50.75969612155138,-0.17936665017319287,16,6453
2024,60min,"SuperTrend_SF14Re(20,2,n=1.5,ts=80)",26,0.11514208491100186,20.449131261898874,0.16137236745716582,4.715967794847905,52.409046214355946,-0.17855373947498376,21,2151
2025,15min,"SuperTrend_SF14Re(20,2,n=1.5,ts=80)",70,-0.020705651678608827,-0.1771988499748265,0.14854886082969065,-0.28323495601468335,50.5158371040724,-0.05030303030302308,5,6489
2025,60min,"SuperTrend_SF14Re(20,2,n=1.5,ts=80)",30,-0.11833438916420458,-0.9704929373312146,0.1575983086488755,-6.06280494764134,48.85439763488544,-0.05431502715751435,16,2163
