window,window_hours,window_days,total_samples,valid_samples,sample_coverage,mean_return,std_return,min_return,max_return,median_return,signal_to_noise,label_up_count,label_range_count,label_down_count,label_up_pct,label_range_pct,label_down_pct,label_changes,future_return,labels,balance_score,overall_score
40,40,2.962962962962963,8637,8597,0.9953687623017251,-0.0012251353990370244,0.025102500686844754,-0.1276282143746968,0.1566854845896884,-0.0001886129455657331,0.048805312837978336,3801,930,3906,44.008336227856894,10.767627648489059,45.22403612365405,1027.0,"16821    0.033516
16822    0.031143
16823    0.037170
16824    0.036090
16825    0.030105
           ...   
25453         NaN
25454         NaN
25455         NaN
25456         NaN
25457         NaN
Name: close, Length: 8637, dtype: float64","16821    1
16822    1
16823    1
16824    1
16825    1
        ..
25453    0
25454    0
25455    0
25456    0
25457    0
Length: 8637, dtype: int64",84.9550850989927,2677.0653629024614
30,30,2.2222222222222223,8637,8607,0.9965265717262939,-0.0009072687438175102,0.021545182413355034,-0.11040161628007016,0.1366799949264025,-0.00013873213493795957,0.04211005163062018,3682,1181,3774,42.63054301262012,13.673729304156538,43.69572768322334,1111.0,"16821    0.043287
16822    0.041242
16823    0.042992
16824    0.039195
16825    0.035835
           ...   
25453         NaN
25454         NaN
25455         NaN
25456         NaN
25457         NaN
Name: close, Length: 8637, dtype: float64","16821    1
16822    1
16823    1
16824    1
16825    1
        ..
25453    0
25454    0
25455    0
25456    0
25457    0
Length: 8637, dtype: int64",86.89248620277102,2648.7773542384625
20,20,1.4814814814814814,8637,8617,0.9976843811508626,-0.0005874056809179924,0.01749472570896588,-0.10765336474840353,0.12186983322965636,-6.888932646731153e-05,0.03357615836280031,3562,1467,3608,41.24117170313767,16.985064258423062,41.77376403843927,1549.0,"16821    0.027827
16822    0.030893
16823    0.033744
16824    0.034828
16825    0.028004
           ...   
25453         NaN
25454         NaN
25455         NaN
25456         NaN
25457         NaN
Name: close, Length: 8637, dtype: float64","16821    1
16822    1
16823    1
16824    1
16825    1
        ..
25453    0
25454    0
25455    0
25456    0
25457    0
Length: 8637, dtype: int64",89.10004283894871,2497.364488842481
15,15,1.1111111111111112,8637,8622,0.9982632858631469,-0.00043562548828160393,0.0151395260231447,-0.09236291265257886,0.10339222246065553,-0.00024244992520978335,0.028774050628509584,3447,1639,3551,39.90969086488364,18.976496468681255,41.11381266643511,1645.0,"16821    0.024017
16822    0.020726
16823    0.023995
16824    0.019977
16825    0.027181
           ...   
25453         NaN
25454         NaN
25455         NaN
25456         NaN
25457         NaN
Name: close, Length: 8637, dtype: float64","16821    1
16822    1
16823    1
16824    1
16825    1
        ..
25453    0
25454    0
25455    0
25456    0
25457    0
Length: 8637, dtype: int64",90.42766431245417,2464.661287939731
10,10,0.7407407407407407,8637,8627,0.9988421905754313,-0.0002862909301956554,0.012375125939164384,-0.07562202573649326,0.09629156047476876,-9.650462950378086e-05,0.02313438518549629,3213,2038,3386,37.20041681139284,23.596156072710432,39.20342711589672,2077.0,"16821    0.018652
16822    0.013942
16823    0.014897
16824    0.019717
16825    0.016822
           ...   
25453         NaN
25454         NaN
25455         NaN
25456         NaN
25457         NaN
Name: close, Length: 8637, dtype: float64","16821    1
16822    1
16823    1
16824    1
16825    1
        ..
25453    0
25454    0
25455    0
25456    0
25457    0
Length: 8637, dtype: int64",93.50743738180695,2315.8297061721332
5,5,0.37037037037037035,8637,8632,0.9994210952877156,-0.00014308100606601112,0.00851033924248391,-0.06069118448262797,0.06188567683681644,-0.00020820439384568732,0.01681260899116051,2755,2964,2918,31.897649646868125,34.31747134421674,33.784879008915134,2945.0,"16821    0.004311
16822    0.006644
16823    0.012779
16824    0.012616
16825    0.012763
           ...   
25453         NaN
25454         NaN
25455         NaN
25456         NaN
25457         NaN
Name: close, Length: 8637, dtype: float64","16821    1
16822    1
16823    1
16824    1
16825    1
        ..
25453    0
25454    0
25455    0
25456    0
25457    0
Length: 8637, dtype: int64",99.04176643124542,2016.6039393371354
