datetime,open,high,low,close,volume,future_return,trend_label
2022-01-04 09:00:00,4392.254,4467.048,4392.028,4465.958,206649.0,0.027827176162427088,1.0
2022-01-04 10:00:00,4466.094,4479.383,4443.1,4475.794,90846.0,0.03089284270008862,1.0
2022-01-04 11:00:00,4474.894,4482.281,4463.308,4468.056,36259.0,0.03374398172270009,1.0
2022-01-04 13:00:00,4467.367,4478.03,4458.301,4467.32,27656.0,0.03482826392557505,1.0
2022-01-04 14:00:00,4467.486,4486.271,4466.689,4480.116,53255.0,0.02800418560590852,1.0
2022-01-04 15:00:00,4480.931,4486.121,4479.851,4485.211,4170.0,0.02448290615536252,1.0
2022-01-04 21:00:00,4485.727,4510.449,4472.077,4505.529,102219.0,0.020067121973912395,1.0
2022-01-04 22:00:00,4506.105,4532.325,4506.079,4525.154,89372.0,0.018720467855900536,1.0
2022-01-04 23:00:00,4524.003,4527.509,4521.066,4523.679,1840.0,0.02548102993161098,1.0
2022-01-05 09:00:00,4523.973,4552.472,4511.352,4537.294,100177.0,0.026079641301621655,1.0
2022-01-05 10:00:00,4537.222,4550.241,4512.301,4549.257,60879.0,0.02418394915917044,1.0
2022-01-05 11:00:00,4549.135,4554.69,4534.668,4538.195,28997.0,0.026925021952560593,1.0
2022-01-05 13:00:00,4536.078,4548.344,4520.829,4534.618,47954.0,0.027682596417162312,1.0
2022-01-05 14:00:00,4534.576,4562.528,4534.523,4555.404,79347.0,0.019100611054474973,1.0
2022-01-05 15:00:00,4554.327,4557.388,4553.456,4555.481,2218.0,0.018697915763450642,1.0
2022-01-05 21:00:00,4551.211,4580.121,4551.211,4573.218,102224.0,0.014225431632605421,1.0
2022-01-05 22:00:00,4573.583,4588.934,4568.443,4568.561,53263.0,0.008704710301558857,1.0
2022-01-05 23:00:00,4568.476,4576.513,4568.081,4575.267,1140.0,0.007598463652503849,1.0
2022-01-06 09:00:00,4567.664,4568.853,4543.714,4556.565,68773.0,0.012844763544468311,1.0
2022-01-06 10:00:00,4556.5,4611.139,4555.703,4601.892,77447.0,0.004522487707229961,1.0
2022-01-06 11:00:00,4602.989,4615.405,4575.643,4590.233,53604.0,0.005535231000256293,1.0
2022-01-06 13:00:00,4590.707,4618.703,4590.707,4614.064,50956.0,0.00024295285024223645,0.0
2022-01-06 14:00:00,4614.877,4631.084,4607.818,4618.826,78228.0,0.003314478614262628,1.0
2022-01-06 15:00:00,4619.9,4624.899,4618.015,4622.909,3881.0,0.0012191457802869195,0.0
2022-01-06 21:00:00,4626.42,4636.159,4597.795,4605.578,96751.0,0.002044043114675239,0.0
2022-01-06 22:00:00,4606.493,4609.841,4594.656,4595.022,35095.0,0.011255441214427276,1.0
2022-01-06 23:00:00,4594.866,4601.021,4594.757,4595.942,1594.0,0.004360585925583953,1.0
2022-01-07 09:00:00,4596.02,4625.335,4592.763,4609.867,86163.0,0.0062949755383398765,1.0
2022-01-07 10:00:00,4609.291,4646.458,4609.221,4638.947,84739.0,0.002676469466023252,0.0
2022-01-07 11:00:00,4639.17,4660.83,4638.377,4655.625,52271.0,0.008390065780641632,1.0
2022-01-07 13:00:00,4656.234,4666.494,4649.571,4659.276,39687.0,0.00870864915493309,1.0
2022-01-07 14:00:00,4659.223,4666.348,4629.385,4660.386,74341.0,0.0067535178416550145,1.0
2022-01-07 15:00:00,4659.723,4663.845,4657.726,4660.148,4289.0,0.008437714853691323,1.0
2022-01-07 21:00:00,4651.128,4663.911,4639.572,4642.415,59943.0,0.011956923282386433,1.0
2022-01-07 22:00:00,4643.406,4655.989,4640.659,4640.659,26060.0,0.0189792010143387,1.0
2022-01-07 23:00:00,4640.817,4642.51,4637.451,4638.274,2466.0,0.018049386474365214,1.0
2022-01-10 09:00:00,4636.503,4660.876,4605.027,4608.329,153821.0,0.02581261016737313,1.0
2022-01-10 10:00:00,4609.213,4625.791,4601.848,4610.032,49632.0,0.02430243434318891,1.0
2022-01-10 11:00:00,4609.077,4624.078,4595.208,4615.093,38621.0,0.024900689975261577,1.0
2022-01-10 13:00:00,4615.063,4630.756,4610.799,4622.704,24685.0,0.02361950927422578,1.0
2022-01-10 14:00:00,4622.63,4630.074,4606.515,4615.641,49440.0,0.03971214399040144,1.0
2022-01-10 15:00:00,4614.972,4616.291,4613.311,4615.185,1764.0,0.04137255602971495,1.0
2022-01-10 21:00:00,4623.138,4641.472,4617.399,4634.135,84795.0,0.036594531665564305,1.0
2022-01-10 22:00:00,4633.426,4649.041,4626.808,4628.545,41759.0,0.03528992372332998,1.0
2022-01-10 23:00:00,4627.843,4628.63,4614.992,4614.992,4471.0,0.03532422158044905,1.0
2022-01-11 09:00:00,4615.583,4648.315,4607.595,4646.741,76935.0,0.02422213762290605,1.0
2022-01-11 10:00:00,4647.544,4647.544,4612.49,4615.983,50990.0,0.026136794697900735,1.0
2022-01-11 11:00:00,4616.026,4644.606,4613.167,4638.886,32875.0,0.017584394184293212,1.0
2022-01-11 13:00:00,4637.535,4652.15,4630.926,4651.363,34972.0,0.015383447819488628,1.0
2022-01-11 14:00:00,4652.466,4707.731,4645.004,4694.686,149297.0,0.011633578901762543,1.0
2022-01-11 15:00:00,4694.817,4700.639,4692.221,4699.852,4222.0,0.01504217579617399,1.0
2022-01-11 21:00:00,4694.899,4707.413,4683.443,4691.86,79875.0,0.017859441671320284,1.0
2022-01-11 22:00:00,4691.867,4708.227,4680.951,4699.469,34745.0,0.011252547894240884,1.0
2022-01-11 23:00:00,4698.652,4701.257,4697.54,4697.924,845.0,0.01378098070552018,1.0
2022-01-12 09:00:00,4701.036,4730.478,4687.961,4728.735,84946.0,0.0029788093433022237,0.0
2022-01-12 10:00:00,4729.526,4731.191,4710.604,4721.992,38457.0,0.00389454281159295,1.0
2022-01-12 11:00:00,4722.137,4730.234,4714.979,4727.282,22087.0,0.0055672583103779745,1.0
2022-01-12 13:00:00,4728.235,4729.903,4715.645,4722.067,36836.0,0.007554742446475236,1.0
2022-01-12 14:00:00,4721.809,4731.082,4707.748,4730.012,60070.0,-0.0020361470541722525,0.0
2022-01-12 15:00:00,4730.971,4735.258,4729.884,4731.89,5901.0,-0.0037101454175816626,-1.0
2022-01-12 21:00:00,4736.802,4805.429,4736.802,4798.938,189153.0,-0.01813526242681188,-1.0
2022-01-12 22:00:00,4798.011,4808.785,4776.976,4806.127,80892.0,-0.025309360322771396,-1.0
2022-01-12 23:00:00,4806.115,4807.143,4801.33,4803.719,1699.0,-0.03645425554658796,-1.0
2022-01-13 09:00:00,4802.371,4805.628,4780.108,4791.886,64871.0,-0.03261200287319025,-1.0
2022-01-13 10:00:00,4792.799,4799.134,4775.356,4778.013,32798.0,-0.028939644994687194,-1.0
2022-01-13 11:00:00,4778.189,4790.684,4750.563,4759.295,47889.0,-0.022624569395257,-1.0
2022-01-13 13:00:00,4757.374,4757.572,4731.018,4736.63,94269.0,-0.017418079942912935,-1.0
2022-01-13 14:00:00,4736.273,4750.335,4715.846,4720.458,81245.0,-0.012472942244163534,-1.0
2022-01-13 15:00:00,4720.598,4723.502,4719.524,4722.917,3101.0,-0.013114141112367802,-1.0
2022-01-13 21:00:00,4727.488,4750.511,4698.645,4749.302,111164.0,-0.018472188123644182,-1.0
2022-01-13 22:00:00,4748.642,4785.074,4745.064,4770.548,69757.0,-0.02590310379436495,-1.0
2022-01-13 23:00:00,4772.913,4775.717,4771.884,4775.654,1058.0,-0.02110307823808024,-1.0
2022-01-14 09:00:00,4772.718,4777.337,4741.993,4752.35,66205.0,-0.018810693656822506,-1.0
2022-01-14 10:00:00,4751.674,4770.467,4751.633,4762.666,27644.0,-0.01596164837089152,-1.0
2022-01-14 11:00:00,4762.666,4765.4,4730.447,4742.821,32855.0,-0.009378173875843146,-1.0
2022-01-14 13:00:00,4741.718,4761.659,4730.361,4740.382,34139.0,-0.009186390463890795,-1.0
2022-01-14 14:00:00,4741.021,4756.802,4730.975,4753.6,54736.0,0.011587218108380851,1.0
2022-01-14 15:00:00,4754.598,4758.121,4753.184,4757.741,2845.0,0.0131671732446133,1.0
2022-01-14 21:00:00,4757.147,4775.327,4701.592,4720.381,136763.0,0.022155203149915256,1.0
2022-01-14 22:00:00,4719.432,4728.664,4682.731,4714.334,67878.0,0.02281467541332466,1.0
2022-01-14 23:00:00,4714.946,4716.718,4709.441,4711.908,2424.0,0.02152970728630523,1.0
2022-01-17 09:00:00,4706.911,4716.025,4655.631,4684.487,113734.0,0.025102215034431805,1.0
2022-01-17 10:00:00,4683.579,4690.827,4621.378,4628.603,96534.0,0.03420470496173461,1.0
2022-01-17 11:00:00,4626.015,4637.321,4620.977,4635.613,41403.0,0.03372757820810321,1.0
2022-01-17 13:00:00,4636.541,4649.691,4632.207,4639.739,22830.0,0.035043134969445555,1.0
2022-01-17 14:00:00,4639.618,4656.899,4631.97,4651.618,37847.0,0.03136843997078,1.0
2022-01-17 15:00:00,4652.649,4655.284,4649.003,4654.127,1973.0,0.032346775238406546,1.0
2022-01-17 21:00:00,4654.265,4669.858,4637.119,4661.58,83253.0,0.031112627049197837,1.0
2022-01-17 22:00:00,4661.667,4670.573,4653.25,4660.98,26327.0,0.026345317937429485,1.0
2022-01-17 23:00:00,4661.026,4664.037,4659.25,4661.572,741.0,0.028071860737107452,1.0
2022-01-18 09:00:00,4659.446,4672.818,4639.549,4646.976,59855.0,0.030288514509220623,1.0
2022-01-18 10:00:00,4647.07,4676.943,4643.49,4674.873,39477.0,0.02667944134525151,1.0
2022-01-18 11:00:00,4675.032,4680.857,4652.211,4662.955,34220.0,0.030005650923073453,1.0
2022-01-18 13:00:00,4664.239,4688.975,4662.596,4686.646,38473.0,0.024906510967544822,1.0
2022-01-18 14:00:00,4687.685,4714.389,4686.821,4698.342,67374.0,0.024531845489323686,1.0
2022-01-18 15:00:00,4697.297,4698.247,4693.032,4696.835,1623.0,0.029386597570491692,1.0
2022-01-18 21:00:00,4719.497,4817.452,4719.497,4808.681,194118.0,0.005299374194295728,1.0
2022-01-18 22:00:00,4808.73,4842.963,4807.043,4820.387,96401.0,-0.0027894025936091673,0.0
2022-01-18 23:00:00,4821.265,4825.781,4819.541,4824.962,1747.0,-0.008613539339791774,-1.0
2022-01-19 09:00:00,4825.63,4844.528,4810.011,4821.89,101188.0,-0.005424014235082188,-1.0
2022-01-19 10:00:00,4820.923,4826.468,4796.413,4813.354,54527.0,0.0009710484622572905,0.0
2022-01-19 11:00:00,4813.181,4813.216,4790.834,4802.078,27355.0,0.0007871592256518418,0.0
2022-01-19 13:00:00,4800.621,4800.823,4772.335,4786.923,49417.0,0.004499132323624228,1.0
2022-01-19 14:00:00,4786.844,4812.064,4780.361,4791.961,53747.0,0.005040525162871639,1.0
2022-01-19 15:00:00,4791.95,4803.966,4791.862,4802.33,2137.0,0.0034849750017178906,1.0
2022-01-19 21:00:00,4803.442,4818.927,4785.349,4797.532,84610.0,0.004952129553278605,1.0
2022-01-19 22:00:00,4798.446,4814.545,4795.685,4804.673,35201.0,-0.002100663250131663,0.0
2022-01-19 23:00:00,4805.577,4806.8,4803.918,4806.614,789.0,-0.007278096389682897,-1.0
2022-01-20 09:00:00,4805.731,4808.519,4777.341,4783.775,67952.0,0.002635784500734332,0.0
2022-01-20 10:00:00,4782.737,4796.174,4771.666,4792.431,42268.0,0.006176197424647358,1.0
2022-01-20 11:00:00,4792.579,4800.964,4782.777,4787.726,21401.0,-0.005343664194651038,-1.0
2022-01-20 13:00:00,4788.681,4812.31,4785.177,4799.596,31751.0,-0.007751694100920146,-1.0
2022-01-20 14:00:00,4799.492,4831.829,4794.881,4802.87,76005.0,-0.008935074236862493,-1.0
2022-01-20 15:00:00,4801.742,4807.307,4801.618,4803.374,1585.0,-0.011435711647687518,-1.0
2022-01-20 21:00:00,4814.125,4816.355,4780.938,4813.601,64154.0,-0.013379172889485449,-1.0
2022-01-20 22:00:00,4814.296,4843.988,4811.765,4834.859,67920.0,-0.00905776156036827,-1.0
2022-01-20 23:00:00,4834.035,4836.684,4833.905,4834.164,706.0,-0.0063113291150236756,-1.0
2022-01-21 09:00:00,4829.712,4831.35,4779.581,4806.941,101822.0,0.0010880100255028038,0.0
2022-01-21 10:00:00,4807.021,4829.754,4778.507,4783.402,59703.0,0.008715972439698776,1.0
2022-01-21 11:00:00,4782.587,4796.554,4773.068,4795.736,38671.0,0.006207597749334083,1.0
2022-01-21 13:00:00,4792.465,4823.732,4783.294,4818.028,37463.0,0.0025064196389062124,0.0
2022-01-21 14:00:00,4818.722,4823.536,4794.339,4805.858,38793.0,0.0028448614170455246,0.0
2022-01-21 15:00:00,4806.547,4810.963,4805.681,4808.46,2380.0,-0.003257383860945181,-1.0
2022-01-21 21:00:00,4784.956,4828.383,4783.39,4816.115,72834.0,-0.009965293602831262,-1.0
2022-01-21 22:00:00,4817.038,4826.93,4801.485,4819.066,43883.0,-0.011301982583347095,-1.0
2022-01-21 23:00:00,4818.567,4822.197,4817.918,4821.29,1518.0,-0.004626770013834428,-1.0
2022-01-24 09:00:00,4830.3,4870.953,4786.347,4794.58,174277.0,-0.005131836365228981,-1.0
2022-01-24 10:00:00,4793.679,4801.682,4762.994,4771.631,70398.0,0.0011176471944288292,0.0
2022-01-24 11:00:00,4770.852,4798.739,4768.991,4796.384,24414.0,-0.001513223294882105,0.0
2022-01-24 13:00:00,4796.465,4824.825,4796.402,4822.03,34779.0,-0.006433182705209161,-1.0
2022-01-24 14:00:00,4821.998,4822.841,4753.411,4762.142,80306.0,0.002317234555374421,0.0
2022-01-24 15:00:00,4762.429,4765.287,4758.001,4762.391,3237.0,0.005609997163189783,1.0
2022-01-24 21:00:00,4772.12,4778.728,4751.503,4759.956,84210.0,0.00526244360241985,1.0
2022-01-24 22:00:00,4759.797,4769.146,4736.182,4748.444,55392.0,0.0041763154414370725,1.0
2022-01-24 23:00:00,4748.733,4752.172,4747.311,4749.199,955.0,0.003949297555229906,1.0
2022-01-25 09:00:00,4757.42,4793.971,4738.342,4791.066,71993.0,0.00678512882101808,1.0
2022-01-25 10:00:00,4790.284,4803.738,4789.199,4803.654,43768.0,0.010151855233536724,1.0
