datetime,close,future_return,trend_label
2014-03-21 09:00:00,3299.525,0.022408073889423383,1.0
2014-03-21 10:00:00,3304.871,0.02121565410571238,1.0
2014-03-21 11:00:00,3308.646,0.019514327008691712,1.0
2014-03-21 13:00:00,3320.802,0.016907361534954427,1.0
2014-03-21 14:00:00,3321.36,0.011370944432401131,1.0
2014-03-21 15:00:00,3325.214,0.01156557141886209,1.0
2014-03-24 09:00:00,3301.582,0.021756539743674436,1.0
2014-03-24 10:00:00,3305.43,0.024114865539430586,1.0
2014-03-24 11:00:00,3313.397,0.014648712484498616,1.0
2014-03-24 13:00:00,3307.13,0.017136913275256786,1.0
2014-03-24 14:00:00,3320.79,0.017022756633210772,1.0
2014-03-24 15:00:00,3330.308,0.011265624680960448,1.0
2014-03-25 09:00:00,3346.122,0.00940491709507312,1.0
2014-03-25 10:00:00,3357.451,0.00490014597383544,0.0
2014-03-25 11:00:00,3364.055,0.005890510113538649,1.0
2014-03-25 13:00:00,3369.667,0.004199227994932464,0.0
2014-03-25 14:00:00,3383.618,0.0036274780427341053,0.0
2014-03-25 15:00:00,3379.988,0.004099718697226136,0.0
2014-03-26 09:00:00,3371.576,0.009541828509871888,1.0
2014-03-26 10:00:00,3379.079,0.010325890575508836,1.0
2014-03-26 11:00:00,3373.461,0.012103000449686593,1.0
2014-03-26 13:00:00,3374.986,0.011090416375060605,1.0
2014-03-26 14:00:00,3373.212,0.011494978673145978,1.0
2014-03-26 15:00:00,3376.948,0.009919904007997828,1.0
2014-03-27 09:00:00,3359.127,0.015214071989537824,1.0
2014-03-27 10:00:00,3363.672,0.014427387688216924,1.0
2014-03-27 11:00:00,3373.413,0.012634385413229893,1.0
2014-03-27 13:00:00,3385.14,0.009126358141760823,1.0
2014-03-27 14:00:00,3361.934,0.011967813764339119,1.0
2014-03-27 15:00:00,3363.804,0.014944390339032828,1.0
2014-03-28 09:00:00,3377.319,0.0097079961946148,1.0
2014-03-28 10:00:00,3367.826,0.010205693524546724,1.0
2014-03-28 11:00:00,3377.592,0.00436908898410467,0.0
2014-03-28 13:00:00,3373.903,0.005467258542999122,1.0
2014-03-28 14:00:00,3383.871,0.003613612930280163,0.0
2014-03-28 15:00:00,3383.817,0.004769170436817334,0.0
2014-03-31 09:00:00,3395.892,0.0010842512070467034,0.0
2014-03-31 10:00:00,3393.845,0.0024618095405064223,0.0
2014-03-31 11:00:00,3403.747,0.0012359908066023517,0.0
2014-03-31 13:00:00,3413.971,-0.0006672581577288713,0.0
2014-03-31 14:00:00,3414.29,0.0010183669225519395,0.0
2014-03-31 15:00:00,3412.416,0.0016293441362365975,0.0
2014-04-01 09:00:00,3411.987,0.001650064903529852,0.0
2014-04-01 10:00:00,3410.447,0.0062129685639448,1.0
2014-04-01 11:00:00,3410.233,0.009139258226637276,1.0
2014-04-01 13:00:00,3412.201,0.008557233293114934,1.0
2014-04-01 14:00:00,3416.034,0.01364242861751378,1.0
2014-04-01 15:00:00,3416.034,0.014350852479805436,1.0
2014-04-02 09:00:00,3402.169,0.024324776341210583,1.0
2014-04-02 10:00:00,3414.074,0.01971544846421019,1.0
2014-04-02 11:00:00,3410.106,0.020290864858746312,1.0
2014-04-02 13:00:00,3402.197,0.023229107544330836,1.0
2014-04-02 14:00:00,3392.349,0.02225567003866636,1.0
2014-04-02 15:00:00,3392.349,0.021182077669485058,1.0
2014-04-03 09:00:00,3396.099,0.018266840866535416,1.0
2014-04-03 10:00:00,3399.955,0.018203770344019342,1.0
2014-04-03 11:00:00,3399.574,0.01605995339416049,1.0
2014-04-03 13:00:00,3402.2,0.015275703956263596,1.0
2014-04-03 14:00:00,3407.954,0.015321803052505958,1.0
2014-04-03 15:00:00,3411.693,0.015322597900807557,1.0
2014-04-04 09:00:00,3417.767,0.012366261363047958,1.0
2014-04-04 10:00:00,3417.976,0.012256083717381303,1.0
2014-04-04 11:00:00,3417.617,0.008286183033382605,1.0
2014-04-04 13:00:00,3431.636,0.004700381975244493,0.0
2014-04-04 14:00:00,3441.4,0.002374905561689944,0.0
2014-04-04 15:00:00,3441.4,0.002374905561689944,0.0
2014-04-08 09:00:00,3462.637,-0.005482237959104628,1.0
2014-04-08 10:00:00,3465.057,-0.004949990721653234,0.0
2014-04-08 11:00:00,3484.926,-0.0128516358740472,1.0
2014-04-08 13:00:00,3481.384,-0.013179241359183606,1.0
2014-04-08 14:00:00,3479.3,-0.005051878251372467,1.0
2014-04-08 15:00:00,3481.227,-0.008327810855195593,1.0
2014-04-09 09:00:00,3467.848,-0.008546799052322975,1.0
2014-04-09 10:00:00,3464.206,-0.007604051260231088,1.0
2014-04-09 11:00:00,3458.135,-0.0053606929746814426,1.0
2014-04-09 13:00:00,3461.847,-0.006427204899581061,1.0
2014-04-09 14:00:00,3454.171,-0.006346530035716247,1.0
2014-04-09 15:00:00,3454.171,-0.008139724408548385,1.0
2014-04-10 09:00:00,3460.17,-0.006190447290162065,1.0
2014-04-10 10:00:00,3463.969,-0.006711087772436717,1.0
2014-04-10 11:00:00,3460.032,-0.004121638181380971,0.0
2014-04-10 13:00:00,3459.867,-0.0030064739482760588,0.0
2014-04-10 14:00:00,3445.936,-0.004779543206838506,0.0
2014-04-10 15:00:00,3447.766,-0.007278916260558287,1.0
2014-04-11 09:00:00,3449.573,-0.007794877800817571,1.0
2014-04-11 10:00:00,3449.573,-0.0077789337984729805,1.0
2014-04-11 11:00:00,3443.654,-0.007302127333350036,1.0
