year,strategy,total_trades,cumulative_return,max_drawdown,sharpe_ratio
2023,原始方案,173,0.11255676079027843,0.019421119485877415,2.661649397937443
2024,原始方案,151,0.07821821992045885,0.030429001911035272,1.253959667069949
2025,原始方案,153,0.05689788397415341,0.011279924606511949,2.1199410864713535
2023,ATR分层止盈,254,0.09591162124682406,0.021077361688356465,1.7659204089164338
2024,ATR分层止盈,226,0.024008909505786935,0.02903665394335283,0.4054400469740923
2025,ATR分层止盈,215,-0.019558523594445876,0.039139041091896365,-0.48389953173289585
2023,移动止盈,175,0.10134662368007041,0.021686161642682833,2.4563128021382266
2024,移动止盈,155,0.08852885069333549,0.017867647390485717,1.841727738006908
2025,移动止盈,153,0.05689788397415341,0.011279924606511949,2.1199410864713535
