,amount
2023-01-03 09:00:00,7187272560.0
2023-01-03 09:05:00,5502315540.0
2023-01-03 09:10:00,3264421660.0
2023-01-03 09:15:00,2921147490.0
2023-01-03 09:20:00,1976890630.0
2023-01-03 09:25:00,2111482250.0
2023-01-03 09:30:00,2835807020.0
2023-01-03 09:35:00,1327115400.0
2023-01-03 09:40:00,832285750.0
2023-01-03 09:45:00,922880700.0
2023-01-03 09:50:00,479995940.0
2023-01-03 09:55:00,407404270.0
2023-01-03 10:00:00,848550710.0
2023-01-03 10:05:00,1228494200.0
2023-01-03 10:10:00,1175326110.0
2023-01-03 10:15:00,74613970.0
2023-01-03 10:30:00,809047930.0
2023-01-03 10:35:00,434863060.0
2023-01-03 10:40:00,506757350.0
2023-01-03 10:45:00,666299960.0
2023-01-03 10:50:00,451720560.0
2023-01-03 10:55:00,290043470.0
2023-01-03 11:00:00,559799770.0
2023-01-03 11:05:00,452487110.0
2023-01-03 11:10:00,325754710.0
2023-01-03 11:15:00,319617510.0
2023-01-03 11:20:00,546560230.0
2023-01-03 11:25:00,417670910.0
2023-01-03 11:30:00,220346780.0
2023-01-03 13:30:00,1120780460.0
2023-01-03 13:35:00,659972670.0
2023-01-03 13:40:00,1196298060.0
2023-01-03 13:45:00,560266580.0
2023-01-03 13:50:00,481169870.0
2023-01-03 13:55:00,382581440.0
2023-01-03 14:00:00,334712590.0
2023-01-03 14:05:00,344665900.0
2023-01-03 14:10:00,645030310.0
2023-01-03 14:15:00,439548680.0
2023-01-03 14:20:00,723597350.0
2023-01-03 14:25:00,716475030.0
2023-01-03 14:30:00,783135320.0
2023-01-03 14:35:00,392281430.0
2023-01-03 14:40:00,321762610.0
2023-01-03 14:45:00,655616950.0
2023-01-03 14:50:00,435707720.0
2023-01-03 14:55:00,829277770.0
2023-01-03 15:00:00,271031800.0
2023-01-03 21:00:00,2036065090.0
2023-01-03 21:05:00,1351418330.0
2023-01-03 21:10:00,972158480.0
2023-01-03 21:15:00,1272061350.0
2023-01-03 21:20:00,1002356440.0
2023-01-03 21:25:00,491142000.0
2023-01-03 21:30:00,520673650.0
2023-01-03 21:35:00,377482690.0
2023-01-03 21:40:00,338988430.0
2023-01-03 21:45:00,290841250.0
2023-01-03 21:50:00,451637950.0
2023-01-03 21:55:00,530468830.0
2023-01-03 22:00:00,329931740.0
2023-01-03 22:05:00,230087440.0
2023-01-03 22:10:00,193877150.0
2023-01-03 22:15:00,512332400.0
2023-01-03 22:20:00,179812580.0
2023-01-03 22:25:00,207898460.0
2023-01-03 22:30:00,375860440.0
2023-01-03 22:35:00,179352210.0
2023-01-03 22:40:00,293809280.0
2023-01-03 22:45:00,182087780.0
2023-01-03 22:50:00,146300860.0
2023-01-03 22:55:00,761146880.0
2023-01-03 23:00:00,380732490.0
2023-01-04 09:00:00,1444875520.0
2023-01-04 09:05:00,898911570.0
2023-01-04 09:10:00,550399600.0
2023-01-04 09:15:00,829834490.0
2023-01-04 09:20:00,1111373660.0
2023-01-04 09:25:00,2192352990.0
2023-01-04 09:30:00,1683565250.0
2023-01-04 09:35:00,995582060.0
2023-01-04 09:40:00,661151010.0
2023-01-04 09:45:00,396575070.0
2023-01-04 09:50:00,494698130.0
2023-01-04 09:55:00,596975450.0
2023-01-04 10:00:00,709451340.0
2023-01-04 10:05:00,593910860.0
2023-01-04 10:10:00,458823640.0
2023-01-04 10:15:00,109874020.0
2023-01-04 10:30:00,571107210.0
2023-01-04 10:35:00,394800540.0
2023-01-04 10:40:00,382114850.0
2023-01-04 10:45:00,1297678160.0
2023-01-04 10:50:00,1068639110.0
2023-01-04 10:55:00,2455321150.0
2023-01-04 11:00:00,2035274450.0
2023-01-04 11:05:00,1184404040.0
2023-01-04 11:10:00,1883601860.0
2023-01-04 11:15:00,1688805380.0
2023-01-04 11:20:00,2646788910.0
2023-01-04 11:25:00,1134686690.0
2023-01-04 11:30:00,203643720.0
2023-01-04 13:30:00,1820648370.0
2023-01-04 13:35:00,1046288960.0
2023-01-04 13:40:00,427315570.0
2023-01-04 13:45:00,461432350.0
2023-01-04 13:50:00,464219890.0
2023-01-04 13:55:00,338610310.0
2023-01-04 14:00:00,659271790.0
2023-01-04 14:05:00,691412820.0
2023-01-04 14:10:00,653729090.0
2023-01-04 14:15:00,622069390.0
2023-01-04 14:20:00,479340410.0
2023-01-04 14:25:00,416665690.0
2023-01-04 14:30:00,362102970.0
2023-01-04 14:35:00,466153490.0
2023-01-04 14:40:00,470544290.0
2023-01-04 14:45:00,461951790.0
2023-01-04 14:50:00,699907010.0
2023-01-04 14:55:00,796565020.0
2023-01-04 15:00:00,320893720.0
2023-01-04 21:00:00,4008662430.0
2023-01-04 21:05:00,1918857520.0
2023-01-04 21:10:00,3863400820.0
2023-01-04 21:15:00,1608277350.0
2023-01-04 21:20:00,1497127770.0
2023-01-04 21:25:00,961279840.0
2023-01-04 21:30:00,1053353540.0
2023-01-04 21:35:00,937621650.0
2023-01-04 21:40:00,691537320.0
2023-01-04 21:45:00,642894320.0
2023-01-04 21:50:00,310305570.0
2023-01-04 21:55:00,427362000.0
2023-01-04 22:00:00,283954410.0
2023-01-04 22:05:00,253754490.0
