trial_number,score,pivot_len,msb_zscore,atr_period,atr_multiplier,tp1_multiplier,tp2_multiplier,tp3_multiplier,total_trades,win_rate,avg_win,avg_loss,profit_loss_ratio,cumulative_return,max_drawdown,sharpe_ratio
0,6.718871214078135,7,0.2449961236461989,11,1.2510076447057084,0.858831527604085,1.1075607750515455,1.4459390758103272,158,81.64556962025317,0.0030866219623961427,-0.0055124954879201184,0.5599318800641295,0.2936341514795431,0.035295712645302096,2.074051441538739
1,4.47738767511126,7,0.6178510061475062,12,1.101116283264844,0.3825391032600681,1.3201442332364834,1.7972284372958969,155,76.77419354838709,0.0020528012790347913,-0.002507886042436527,0.8185384998755367,0.18176948661564385,0.03042900191103492,1.7152751428272257
2,4.88681984473177,5,0.623520437306995,20,1.5172874736182167,0.6716626592536635,1.2088698569998562,2.438136016059835,183,79.23497267759562,0.002815064524841138,-0.006445185300338729,0.4367701460333796,0.21252145036018089,0.048529959384716645,1.5389425970493356
3,6.809559295192951,6,0.6917745787841654,11,1.3606764634242232,0.8406002639121044,1.1005846914152229,2.1708140622800407,160,81.25,0.0031859131330423686,-0.005956811766375326,0.5348352873975355,0.2989863453308872,0.03239972202907958,2.05299424538731
4,7.782526116530877,6,0.7406376225812272,16,1.7958755672106035,0.9445111721294355,1.3908263503864686,1.8673985590733455,156,84.61538461538461,0.003427870055436002,-0.0062854681893761725,0.5453643152995123,0.34533631096938744,0.030429001911034745,2.1921805700777455
5,5.319125039123255,10,0.6109120489834032,19,0.9841147059289476,0.7664714871363856,1.3569749127485238,1.909751465917473,112,83.03571428571429,0.002688173225974574,-0.003143464871775322,0.8551624833193652,0.21534241245779207,0.030897447628751008,2.234039322132227
6,5.438973293283749,10,0.4774156359330412,18,1.4472802803311624,0.7199388597516083,1.1471780229455724,2.4765866144848356,116,82.75862068965517,0.0026255117605572258,-0.0030381706515996234,0.8641752098997042,0.2199938960016703,0.032961532611753976,2.3114176309682057
7,5.798172158746826,10,0.6749258168556196,17,1.4736866870828134,0.8970510342224911,1.497224780720964,1.5899604079239313,107,85.04672897196261,0.00292645937223857,-0.0035561454567191357,0.8229301663432216,0.2394572665292285,0.03373681732638881,2.266182538749891
8,6.6755041318656865,6,0.6548700341952456,10,1.6895411315962479,0.7700710088563856,0.8412744799138479,1.2467090663032039,164,81.70731707317073,0.0031209370553457526,-0.006078808791046621,0.5134126047758781,0.2933755450846629,0.03369251075476852,2.008760627540256
9,5.432351510744398,6,0.3902861598125865,12,1.0132168973582316,0.3874651405017388,0.8471438744748022,2.0577963004010953,178,75.28089887640449,0.002186001399747044,-0.0024496214476471784,0.892383352475405,0.22445022900486067,0.03239972202907978,1.954645298856741
10,6.704262063695236,8,0.7859164355848993,15,1.994041301744401,0.9890157583625123,1.4696906924450945,1.6687961506398197,127,86.61417322834646,0.003076105222582683,-0.0045902888650181115,0.6701332558883625,0.2876360551534707,0.030429001911035022,2.278292194234923
11,4.569122937305757,5,0.7834650252614253,15,1.7732346773397398,0.526646602741017,1.0505249288187686,2.1474247481377122,173,78.61271676300578,0.002470653695652808,-0.005197834558724915,0.475323650212308,0.1961132808789754,0.04798269568502598,1.522426198804417
12,6.716150418332441,8,0.7314480962454428,15,1.276899344284113,0.9844271738424181,0.9523117585376351,2.2473361126634437,131,83.96946564885496,0.00315485472812631,-0.004823722641061856,0.6540290482853768,0.2879950342400419,0.03681056426491594,2.3154603807248395
