,close
16821,0.004311057112494254
16822,0.006643513977631808
16823,0.01277915943757215
16824,0.012615841265009085
16825,0.012762615967979375
16826,0.014279372809885503
16827,0.007250203028323478
16828,0.002091420535080119
16829,0.007013097083148553
16830,0.004008336246229559
16831,0.00526701393216524
16832,0.00669120652594258
16833,0.008964150894297916
16834,0.0002548621373645781
16835,0.010187947222258211
16836,0.0037205748774714717
16837,0.009960028989434664
16838,0.009520537271376774
16839,0.014560090770130582
16840,0.0008009749033659643
16841,0.0010433021591713884
16842,-0.00392755713834925
16843,-0.0019396703837728099
16844,0.0034692441490845843
16845,0.010866605668170111
16846,0.013983393333046046
16847,0.014021935002661133
16848,0.01090725610955803
16849,0.0007475834494336424
16850,-0.0032146059873809315
16851,-0.004507567270107952
16852,-0.011170104793894903
16853,-0.010754164889183774
16854,-0.0058852989230820845
16855,-0.0038690625620197323
16856,-0.004879616857477742
16857,0.0014877410011309255
16858,0.005228380193456372
16859,0.0029147841657795903
16860,-0.001668287651556218
16861,0.006737959039708757
16862,0.00017290747824838537
16863,0.0010252182985606166
16864,0.00492984296360956
16865,0.01726850230726283
16866,0.011429731073885951
16867,0.016437885494812156
16868,0.013059816516292838
16869,0.010010184111624848
16870,0.007252668229568491
16871,0.004710786637536741
16872,0.00754967113255734
16873,0.004808628379078563
16874,0.0068302509789429835
16875,0.0006671974640153561
16876,0.016295241499773804
16877,0.016678717284054612
16878,0.01729158014911691
16879,0.013081150745495087
16880,0.009747268004961989
16881,-0.008260786032242973
16882,-0.014460083971979993
16883,-0.017332612502937914
16884,-0.014392871616728788
16885,-0.006008983232151156
16886,0.0023644258235725464
16887,0.008238768913763655
16888,0.006756124087959418
16889,0.008416197024000167
16890,-0.0013646215801816283
16891,-0.006323382554792483
16892,-0.004618006245846137
16893,0.0011343861458014712
16894,-0.008878430694069215
16895,-0.006006340951935585
16896,-0.006006688912412387
16897,-0.014539086166274041
16898,-0.02714271331709732
16899,-0.01795787246834525
16900,-0.015823019752100775
16901,-0.01279524133323485
16902,-0.006480965791985264
16903,0.00712461189693734
16904,0.005472199685348901
16905,0.004705652623994699
16906,-0.0009979323323627896
16907,0.004457549181618633
16908,0.00029496436830430886
16909,0.0055065672884243595
16910,0.007887897044172979
16911,0.01072934312550794
16912,0.0286228096463797
16913,0.033762281643292674
16914,0.02951279017019863
16915,0.026296084874196195
16916,0.024807982396656523
16917,-0.0013731416161727418
16918,-0.006942181198314563
16919,-0.0068396393588177895
16920,-0.004056500666751087
16921,-0.0032871049999647056
16922,0.0005403910557053311
16923,0.004113498378812403
16924,-0.0017082776758827135
16925,-0.002061291081620868
16926,-0.0020439676066778697
16927,-0.0010566796117030702
16928,-0.0007789267039125022
16929,0.004096973624386632
16930,0.00441738232642266
16931,0.009844548330460164
16932,0.00720227285796559
16933,0.0008476181949542488
16934,-0.0041579106686257935
16935,-0.003711358710453937
16936,-0.0034811770105395274
16937,-0.0058554074706608185
16938,0.0003160013821680426
16939,0.006838856529306912
16940,0.004864738175746106
16941,0.0006770404821225025
16942,-0.0023467193579169935
16943,-0.007659208977510414
16944,-0.00409687061044011
16945,0.0006150569425693572
16946,-0.012268085927210381
16947,-0.006713622465367207
16948,-0.002446752483584791
16949,-0.00999502958895693
16950,-0.015103804829086532
16951,0.006073737406402408
16952,0.008664345283703256
16953,0.010969639215152439
16954,0.016142129927192914
16955,0.016067341040036584
16956,0.008148082284819384
16957,0.0033049840808682916
16958,-0.004026041468601325
16959,-0.011807645612707226
16960,-0.01262147430756498
16961,-0.0064431324874164395
16962,-0.010282122945598302
16963,-0.0033034989798231868
16964,0.004405299278269177
16965,0.0055425417574316
16966,-0.005377389334365322
16967,0.004011132133816175
16968,0.0016832867067870236
16969,-0.004353821553243863
16970,-0.0048119300130724215
16971,0.010558376527834593
16972,0.013219998379656482
16973,8.359447900065753e-07
16974,0.0027888492169601555
16975,0.017162074725957027
16976,0.008447885323206549
16977,0.002145321303596938
16978,0.018979274647132283
16979,0.018227056242788624
16980,0.006142542872536763
16981,0.004725837490643482
16982,0.009763861784187495
16983,0.01022021914240161
16984,0.013075081022205715
16985,0.0152753119996359
16986,0.01711022687117732
16987,0.010988104620685847
16988,0.006968613527088836
16989,0.006053256983536967
16990,0.012214706576963354
16991,0.0076728035415476485
16992,0.010140473967445177
16993,0.010301650288247106
16994,0.012538886144834008
16995,0.0034692538202773858
16996,0.009810593772303235
16997,0.003257285469144777
16998,0.006118843091246903
16999,0.006469744832483546
17000,0.0034964089967844205
17001,-0.0014708740253728933
17002,-0.0035667297894091767
17003,-0.004457984743362343
17004,-0.00815923207785837
17005,-0.013678669300267152
17006,-0.017615507475384432
17007,-0.009993427083011205
17008,-0.004203803585545682
17009,-0.005493339925952634
17010,0.0014367914174802559
17011,0.00936634954416793
17012,0.01182172190522555
17013,0.004622297307571354
17014,0.014518789204108765
17015,0.0106750649297531
17016,0.008390706667899138
17017,0.017238440264076758
17018,0.018016767481195593
17019,0.00943765525644402
17020,0.009295088100597025
17021,0.009770306805414955
17022,-0.006860629286791956
17023,-0.005554670880761838
17024,-0.01510079890939116
17025,-0.013955153093735287
17026,-0.03025681199377621
17027,-0.02351408521083921
17028,-0.026039375686064712
17029,-0.009211919464922726
17030,-0.002743383876206257
17031,0.006076824553833158
17032,0.00017461349857216256
17033,-0.005573247925205783
17034,-0.01537498003952772
17035,-0.022683235812508907
17036,-0.01966717034496534
17037,-0.015930649571928423
17038,-0.013132441534068048
17039,-0.005057444567367802
17040,-0.010154310755449968
17041,-0.01701429366324793
17042,-0.00950790568472594
17043,-0.007693995378210371
17044,-0.0077644880489708195
17045,-0.0008043556280823276
17046,0.010317113694317672
17047,0.009562730076403235
17048,0.014418187802936862
17049,0.008982823131708551
17050,0.012309124513079603
17051,0.01391983194137764
17052,0.00793119800080253
17053,-0.005350801577474387
17054,-0.008404588590377278
17055,-0.008865224685442942
17056,-0.013397056512004998
17057,-0.018718923126230583
17058,-0.006559313386310987
17059,-0.008107830473610583
17060,-0.010807411915542998
17061,-0.010118760051534881
17062,-0.0017174605307579622
17063,-0.0065651694667476
17064,-0.002223932121615525
17065,0.008181146548092403
17066,0.013875184218223638
17067,0.01368438501905091
17068,0.012477898059361642
17069,0.015112426129232172
17070,0.007757037099493064
17071,0.005968734417330251
17072,0.005759012096732892
17073,0.01048970614010902
17074,0.0028584838989047915
17075,-0.0038628138190181277
17076,-0.0026650575753005426
17077,-0.004463997369157169
17078,0.002053157750512737
17079,0.009168492912854511
17080,0.019341411296797166
17081,0.01233203065115255
17082,0.010768264748597137
