entry_time,exit_time,direction,entry_price,exit_price,pnl,pnl_pct,holding_bars,position_size,exit_reason
2023-01-09 21:00:00,2023-01-16 09:00:00,long,4104.0,4119.0,2.2314982509613035,0.36249159372340867,39,0.15,stop_loss
2023-01-16 09:00:00,2023-01-16 15:00:00,long,4121.0,4093.0,-4.218481499701738,-0.6824365444797765,5,0.15,signal
2023-01-18 15:00:00,2023-01-31 10:00:00,long,4162.0,4196.0,5.081194500178099,0.8139026910424634,29,0.15,stop_loss
2023-01-31 10:00:00,2023-01-31 21:00:00,long,4198.0,4142.0,-8.41876499980688,-1.3369485468964397,5,0.15,stop_loss
2023-01-31 21:00:00,2023-01-31 22:00:00,long,4144.0,4133.0,-1.6686232490837574,-0.26844003363638314,1,0.15,signal
2023-02-15 22:00:00,2023-02-22 21:00:00,long,4068.0,4259.0,28.631264251023527,4.692111480010412,44,0.15,signal
2023-05-08 23:00:00,2023-05-09 22:00:00,long,3733.0,3720.0,-1.966769249886274,-0.3512401553507053,8,0.15,signal
2023-05-29 15:00:00,2023-05-30 13:00:00,long,3507.0,3460.0,-7.065675749480724,-1.3431566865280342,7,0.15,stop_loss
2023-05-30 13:00:00,2023-06-02 13:00:00,long,3462.0,3583.0,18.134148750901222,3.492037117446798,27,0.15,signal
2023-06-05 22:00:00,2023-06-06 22:00:00,long,3652.0,3635.0,-2.5663957495987417,-0.46849137451601713,9,0.15,stop_loss
2023-06-06 22:00:00,2023-06-07 11:00:00,long,3637.0,3649.0,1.783606500774622,0.3269373111125693,4,0.15,signal
2023-06-09 23:00:00,2023-06-12 11:00:00,long,3699.0,3647.0,-7.8165285001695155,-1.4087642606415276,3,0.15,stop_loss
2023-06-12 11:00:00,2023-06-12 22:00:00,long,3649.0,3658.0,1.3335592509806156,0.24363921640277986,5,0.15,signal
2023-06-27 13:00:00,2023-06-28 09:00:00,long,3724.0,3729.0,3.5230080032348634,0.11825349097861382,6,0.8,signal
2023-06-28 09:00:00,2023-07-03 09:00:00,long,3731.0,3728.0,-0.46678274944424625,-0.0834061912703022,27,0.15,stop_loss
2023-07-03 09:00:00,2023-07-05 11:00:00,long,3730.0,3744.0,2.083183500319719,0.37232949067376575,20,0.15,stop_loss
2023-07-05 11:00:00,2023-07-06 23:00:00,long,3746.0,3738.0,-1.216838999390602,-0.2165579283485677,15,0.15,signal
2023-08-23 22:00:00,2023-08-24 13:00:00,long,3729.0,3754.0,3.733163250982761,0.6674109682636563,5,0.15,signal
2023-10-25 11:00:00,2023-10-30 14:00:00,long,3678.0,3734.0,27.81470000743866,1.512490484363168,29,0.5,signal
2023-10-30 14:00:00,2023-11-03 14:00:00,long,3736.0,3790.0,8.083066501021385,1.4423744648503543,36,0.15,signal
2023-12-08 15:00:00,2023-12-13 10:00:00,long,4042.0,4019.0,-3.468137248903513,-0.5720166994727879,23,0.15,stop_loss
2023-12-13 10:00:00,2023-12-13 13:00:00,long,4021.0,3959.0,-9.317954999506474,-1.5448818700997222,2,0.15,stop_loss
2023-12-13 13:00:00,2023-12-13 15:00:00,long,3961.0,3943.0,-2.7177839992940425,-0.4574238827390461,2,0.15,signal
2024-03-20 09:00:00,2024-03-26 09:00:00,long,3566.0,3583.0,2.5339147509634494,0.4737174707353617,36,0.15,stop_loss
2024-03-28 10:00:00,2024-03-28 21:00:00,long,3456.0,3474.0,13.956480026245117,0.5047916676159259,5,0.8,signal
2024-04-09 14:00:00,2024-04-16 22:00:00,long,3588.0,3607.0,2.8338112498819825,0.5265349776815278,48,0.15,signal
2024-05-17 11:00:00,2024-05-27 11:00:00,long,3709.0,3764.0,8.233185750693082,1.479857239272595,54,0.15,signal
2024-06-27 11:00:00,2024-06-27 22:00:00,long,3553.0,3528.0,-3.7659322491288183,-0.706620179966004,5,0.15,signal
2024-06-27 22:00:00,2024-07-02 14:00:00,short,3528.0,3566.0,-26.947605999112128,-1.091172902458379,24,0.7,signal
2024-07-02 14:00:00,2024-07-05 11:00:00,long,3566.0,3589.0,3.433901250064373,0.6419706954691293,25,0.15,stop_loss
2024-07-05 11:00:00,2024-07-05 21:00:00,long,3591.0,3558.0,-4.96608524903655,-0.9219502922187971,4,0.15,signal
2024-09-30 13:00:00,2024-10-08 10:00:00,long,3552.0,3638.0,42.82025000452995,2.411050112867678,4,0.5,stop_loss
2024-10-08 10:00:00,2024-10-08 11:00:00,long,3640.0,3546.0,-47.179649993777275,-2.5922884611965538,1,0.5,stop_loss
2024-10-08 11:00:00,2024-10-08 13:00:00,long,3548.0,3521.0,-13.676725000143051,-0.770954058632641,1,0.5,stop_loss
2024-10-08 13:00:00,2024-10-09 10:00:00,long,3523.0,3502.0,-10.675624996423721,-0.6060530795585422,7,0.5,signal
2024-12-17 13:00:00,2024-12-18 10:00:00,long,3368.0,3343.0,-3.7650997491180895,-0.7452691506567873,7,0.15,signal
2024-12-26 15:00:00,2024-12-27 13:00:00,long,3307.0,3274.0,-7.957906560516357,-1.0026593287617627,7,0.24,signal
2025-02-18 23:00:00,2025-02-19 21:00:00,long,3312.0,3310.0,-1.1655499935150146,-0.07038345371467479,7,0.5,signal
2025-02-19 21:00:00,2025-02-21 09:00:00,long,3312.0,3367.0,8.234972250759602,1.6576031100562807,12,0.15,signal
2025-02-21 09:00:00,2025-02-24 11:00:00,long,3369.0,3337.0,-26.02918399810791,-0.9657607597991952,11,0.8,signal
2025-04-21 14:00:00,2025-04-22 22:00:00,long,3116.0,3085.0,-15.655024990439415,-1.0048154679357777,12,0.5,signal
2025-05-07 22:00:00,2025-05-08 15:00:00,long,3092.0,3052.0,-6.0138239993155,-1.2966416557385727,7,0.15,signal
2025-05-13 13:00:00,2025-05-16 21:00:00,long,3084.0,3077.0,-1.0638622502982615,-0.22997454610857365,30,0.15,signal
2025-05-20 15:00:00,2025-05-26 09:00:00,long,3060.0,3034.0,-6.275101438522339,-0.8544528102563098,31,0.24,stop_loss
2025-05-26 09:00:00,2025-05-26 13:00:00,long,3036.0,3007.0,-6.9948076778411865,-0.9599812908763158,3,0.24,signal
2025-06-04 13:00:00,2025-06-11 09:00:00,long,2947.0,2982.0,8.365848961257935,1.1828199526719172,42,0.24,signal
2025-07-03 15:00:00,2025-07-04 10:00:00,long,3078.0,3083.0,0.7361377497017383,0.15944070818751102,5,0.15,signal
2025-07-04 10:00:00,2025-07-07 11:00:00,long,3085.0,3062.0,-11.653674989938736,-0.7555056719571304,10,0.5,signal
2025-07-25 15:00:00,2025-07-25 22:00:00,long,3352.0,3324.0,-4.215020999461412,-0.8383096657640041,2,0.15,stop_loss
2025-07-25 22:00:00,2025-07-25 23:00:00,long,3326.0,3259.0,-10.064816249012948,-2.0174015331755757,1,0.15,stop_loss
2025-07-25 23:00:00,2025-07-28 14:00:00,long,3261.0,3246.0,-2.2646407493948937,-0.4629747008882538,5,0.15,signal
2025-08-25 11:00:00,2025-08-26 11:00:00,long,3158.0,3126.0,-7.716195838165283,-1.018075237250011,9,0.24,signal
2025-09-01 11:00:00,2025-09-03 22:00:00,long,3109.0,3096.0,-3.1557407981872556,-0.4229308456882245,23,0.24,stop_loss
2025-09-25 15:00:00,2025-09-26 13:00:00,long,3169.0,3136.0,-4.96418624907732,-1.0443223412385234,7,0.15,signal
2025-10-23 10:00:00,2025-10-24 13:00:00,long,3062.0,3052.0,-1.513756500184536,-0.3295790333517387,11,0.15,signal
2025-11-24 21:00:00,2025-11-27 09:00:00,long,3090.0,3084.0,-5.19513599395752,-0.21015922305653395,21,0.8,signal
