,volume
2023-01-05 09:45:00,20675.0
2023-01-05 09:50:00,15301.0
2023-01-05 09:55:00,17964.0
2023-01-05 10:00:00,13652.0
2023-01-05 10:05:00,7580.0
2023-01-05 10:10:00,11635.0
2023-01-05 10:15:00,1154.0
2023-01-05 10:30:00,9513.0
2023-01-05 10:35:00,9072.0
2023-01-05 10:40:00,7253.0
2023-01-05 10:45:00,6692.0
2023-01-05 10:50:00,5758.0
2023-01-05 10:55:00,3988.0
2023-01-05 11:00:00,15608.0
2023-01-05 11:05:00,14881.0
2023-01-05 11:10:00,18084.0
2023-01-05 11:15:00,20694.0
2023-01-05 11:20:00,18437.0
2023-01-05 11:25:00,22054.0
2023-01-05 11:30:00,11361.0
2023-01-05 13:30:00,40931.0
2023-01-05 13:35:00,23827.0
2023-01-05 13:40:00,24969.0
2023-01-05 13:45:00,25411.0
2023-01-05 13:50:00,13930.0
2023-01-05 13:55:00,50964.0
2023-01-05 14:00:00,46688.0
2023-01-05 14:05:00,16838.0
2023-01-05 14:10:00,11676.0
2023-01-05 14:15:00,20289.0
2023-01-05 14:20:00,12220.0
2023-01-05 14:25:00,8989.0
2023-01-05 14:30:00,9336.0
2023-01-05 14:35:00,14946.0
2023-01-05 14:40:00,9130.0
2023-01-05 14:45:00,17161.0
2023-01-05 14:50:00,17791.0
2023-01-05 14:55:00,16411.0
2023-01-05 15:00:00,6341.0
2023-01-05 21:00:00,86597.0
2023-01-05 21:05:00,51684.0
2023-01-05 21:10:00,46746.0
2023-01-05 21:15:00,26336.0
2023-01-05 21:20:00,12849.0
2023-01-05 21:25:00,10374.0
2023-01-05 21:30:00,20766.0
2023-01-05 21:35:00,9465.0
2023-01-05 21:40:00,18936.0
2023-01-05 21:45:00,14252.0
2023-01-05 21:50:00,11507.0
2023-01-05 21:55:00,18924.0
2023-01-05 22:00:00,21485.0
2023-01-05 22:05:00,10134.0
2023-01-05 22:10:00,6741.0
2023-01-05 22:15:00,17928.0
2023-01-05 22:20:00,8617.0
2023-01-05 22:25:00,11419.0
2023-01-05 22:30:00,23995.0
2023-01-05 22:35:00,9981.0
2023-01-05 22:40:00,16564.0
2023-01-05 22:45:00,14861.0
2023-01-05 22:50:00,8702.0
2023-01-05 22:55:00,18303.0
2023-01-05 23:00:00,6568.0
2023-01-06 09:00:00,83339.0
2023-01-06 09:05:00,35369.0
2023-01-06 09:10:00,26014.0
2023-01-06 09:15:00,29570.0
2023-01-06 09:20:00,20172.0
2023-01-06 09:25:00,17096.0
2023-01-06 09:30:00,15068.0
2023-01-06 09:35:00,21602.0
2023-01-06 09:40:00,13722.0
2023-01-06 09:45:00,14837.0
2023-01-06 09:50:00,10889.0
2023-01-06 09:55:00,8893.0
2023-01-06 10:00:00,18894.0
2023-01-06 10:05:00,36640.0
2023-01-06 10:10:00,31742.0
2023-01-06 10:15:00,7070.0
2023-01-06 10:30:00,42432.0
2023-01-06 10:35:00,52252.0
2023-01-06 10:40:00,21447.0
2023-01-06 10:45:00,47516.0
2023-01-06 10:50:00,35169.0
2023-01-06 10:55:00,28842.0
2023-01-06 11:00:00,38640.0
2023-01-06 11:05:00,24177.0
2023-01-06 11:10:00,37062.0
2023-01-06 11:15:00,42473.0
2023-01-06 11:20:00,44717.0
2023-01-06 11:25:00,29774.0
2023-01-06 11:30:00,8943.0
2023-01-06 13:30:00,48267.0
2023-01-06 13:35:00,20224.0
2023-01-06 13:40:00,18801.0
2023-01-06 13:45:00,19262.0
2023-01-06 13:50:00,11169.0
2023-01-06 13:55:00,20541.0
2023-01-06 14:00:00,19890.0
2023-01-06 14:05:00,15733.0
2023-01-06 14:10:00,10968.0
2023-01-06 14:15:00,12178.0
2023-01-06 14:20:00,12122.0
2023-01-06 14:25:00,13407.0
2023-01-06 14:30:00,14988.0
2023-01-06 14:35:00,13347.0
2023-01-06 14:40:00,26004.0
2023-01-06 14:45:00,30001.0
2023-01-06 14:50:00,36462.0
2023-01-06 14:55:00,28029.0
2023-01-06 15:00:00,10959.0
2023-01-06 21:00:00,110821.0
2023-01-06 21:05:00,53525.0
2023-01-06 21:10:00,33509.0
2023-01-06 21:15:00,20793.0
2023-01-06 21:20:00,17419.0
2023-01-06 21:25:00,35523.0
2023-01-06 21:30:00,24329.0
2023-01-06 21:35:00,15070.0
2023-01-06 21:40:00,13019.0
2023-01-06 21:45:00,20642.0
2023-01-06 21:50:00,54391.0
2023-01-06 21:55:00,42835.0
2023-01-06 22:00:00,29583.0
2023-01-06 22:05:00,26567.0
2023-01-06 22:10:00,33546.0
2023-01-06 22:15:00,22636.0
2023-01-06 22:20:00,10265.0
2023-01-06 22:25:00,26258.0
2023-01-06 22:30:00,14468.0
2023-01-06 22:35:00,16157.0
2023-01-06 22:40:00,91662.0
2023-01-06 22:45:00,81724.0
2023-01-06 22:50:00,41642.0
2023-01-06 22:55:00,43841.0
2023-01-06 23:00:00,20612.0
2023-01-09 09:00:00,84105.0
2023-01-09 09:05:00,26862.0
2023-01-09 09:10:00,19657.0
2023-01-09 09:15:00,20083.0
2023-01-09 09:20:00,24117.0
2023-01-09 09:25:00,20010.0
2023-01-09 09:30:00,18765.0
2023-01-09 09:35:00,10201.0
2023-01-09 09:40:00,11369.0
2023-01-09 09:45:00,7913.0
2023-01-09 09:50:00,12397.0
2023-01-09 09:55:00,12613.0
2023-01-09 10:00:00,19875.0
2023-01-09 10:05:00,15177.0
2023-01-09 10:10:00,9312.0
2023-01-09 10:15:00,1346.0
2023-01-09 10:30:00,10930.0
2023-01-09 10:35:00,10661.0
2023-01-09 10:40:00,8860.0
2023-01-09 10:45:00,9676.0
2023-01-09 10:50:00,17244.0
2023-01-09 10:55:00,13177.0
2023-01-09 11:00:00,18780.0
2023-01-09 11:05:00,15060.0
2023-01-09 11:10:00,18153.0
2023-01-09 11:15:00,15315.0
2023-01-09 11:20:00,35205.0
2023-01-09 11:25:00,15485.0
2023-01-09 11:30:00,7901.0
2023-01-09 13:30:00,18850.0
2023-01-09 13:35:00,18914.0
