strategy_name,total_trades,cumulative_return,annual_return,max_drawdown,sharpe_ratio,win_rate,buy_hold_return,data_length,year,freq,period,multiplier
"SuperTrend(10,3.0)",185,-0.042886430351675275,-0.026909523924116274,0.18846253189286882,-0.13561436807771812,49.658162414540605,-0.006947890818869595,6479,2023,15min,10,3.0
"SuperTrend(10,2.0)",357,-0.30761084964006147,-0.20448742708443635,0.3677922448728503,-1.6346660928222516,47.9906619976655,-0.006947890818869595,6479,2023,15min,10,2.0
"SuperTrend(7,3.0)",184,0.09079880483968816,0.05557522134546278,0.19423943088544576,0.46945110371638,49.67483741870936,-0.006947890818869595,6479,2023,15min,7,3.0
"SuperTrend(14,2.5)",233,-0.028261598833400625,-0.01768281270249017,0.231248427669705,-0.06547135209271988,49.5247623811906,-0.006947890818869595,6479,2023,15min,14,2.5
"SuperTrend(10,3.0)",61,0.1558377088157996,0.3105749139426899,0.089699616557005,1.2693985469041988,51.08695652173913,-0.009405940594064854,2159,2023,60min,10,3.0
"SuperTrend(10,2.0)",112,0.018303884937129533,0.0344542589876895,0.1928563275250728,0.2616816949404678,51.48221343873518,-0.009405940594064854,2159,2023,60min,10,2.0
"SuperTrend(7,3.0)",61,0.24944985271644327,0.5157425392646091,0.07309864677040386,1.8892748607378482,51.53162055335968,-0.009405940594064854,2159,2023,60min,7,3.0
"SuperTrend(14,2.5)",74,0.26873285144980485,0.5597214785874791,0.08298910800251974,2.0112930789192096,51.77865612648221,-0.009405940594064854,2159,2023,60min,14,2.5
"SuperTrend(10,3.0)",165,0.3589857322121248,0.21129238564059372,0.14325385218455366,1.3958704293409352,51.29170230966638,-0.17936665017319287,6452,2024,15min,10,3.0
"SuperTrend(10,2.0)",291,0.2851241096961683,0.16972083827021156,0.10403343549286045,1.1545925886174546,50.94952951240377,-0.17936665017319287,6452,2024,15min,10,2.0
"SuperTrend(7,3.0)",165,0.4153358320187899,0.24244020827355572,0.12777512200845267,1.5713023855288768,51.47989734816082,-0.17936665017319287,6452,2024,15min,7,3.0
"SuperTrend(14,2.5)",203,0.35341518666935223,0.20818716589418962,0.14648408404937868,1.378177112040717,51.462788708297694,-0.17936665017319287,6452,2024,15min,14,2.5
"SuperTrend(10,3.0)",73,0.03369566089506426,0.06412175138439546,0.15942927783432723,0.3799530289775252,50.55724417426545,-0.17855373947498376,2150,2024,60min,10,3.0
"SuperTrend(10,2.0)",113,0.15362682131175576,0.30735692575564744,0.1534150406976868,1.2450616554996028,50.455927051671736,-0.17855373947498376,2150,2024,60min,10,2.0
"SuperTrend(7,3.0)",75,0.012252137562761112,0.02310018254133661,0.14713916202974123,0.21476037131561457,50.70921985815603,-0.17855373947498376,2150,2024,60min,7,3.0
"SuperTrend(14,2.5)",91,0.05670952544311314,0.10898366300681972,0.1507701294376945,0.5534879605712288,50.30395136778115,-0.17855373947498376,2150,2024,60min,14,2.5
"SuperTrend(10,3.0)",171,0.0642003785373535,0.03942661398284519,0.12400515894931448,0.41679909165953183,50.81880612783941,-0.05030303030302308,6488,2025,15min,10,3.0
"SuperTrend(10,2.0)",312,-0.06928097265260069,-0.04363833674005546,0.1778092554552743,-0.3663973215376714,49.357281211480895,-0.05030303030302308,6488,2025,15min,10,2.0
"SuperTrend(7,3.0)",185,-0.009502168250006493,-0.005915836991106982,0.17028330282519574,-0.002626676105392773,50.48424018313084,-0.05030303030302308,6488,2025,15min,7,3.0
"SuperTrend(14,2.5)",220,0.02200785053348664,0.01362048651140646,0.16308786297615743,0.18038428977757978,50.14967423842226,-0.05030303030302308,6488,2025,15min,14,2.5
"SuperTrend(10,3.0)",71,-0.052722771549147396,-0.09607749087199813,0.10035805037805952,-0.47614897213651447,50.36382536382536,-0.05431502715751435,2162,2025,60min,10,3.0
"SuperTrend(10,2.0)",109,0.03967306404133675,0.07525507687504596,0.12047691466748316,0.49551066973105756,51.24740124740125,-0.05431502715751435,2162,2025,60min,10,2.0
"SuperTrend(7,3.0)",69,-0.01188713667494501,-0.022054767944360676,0.10165791825707152,-0.035524822403315406,50.62370062370062,-0.05431502715751435,2162,2025,60min,7,3.0
"SuperTrend(14,2.5)",83,-0.037829777884933136,-0.06939405455541037,0.14774975274228067,-0.31326984406330544,50.46777546777547,-0.05431502715751435,2162,2025,60min,14,2.5
